iter	Accuracy	MultiClass
196	0.8853333333	0.790916821
197	0.8866666667	0.790165057
198	0.886	0.7866262907
199	0.8866666667	0.7845042489
200	0.886	0.7837958685
201	0.8866666667	0.7830965659
202	0.8866666667	0.7823440746
203	0.8866666667	0.7815736723
204	0.8893333333	0.7797339044
205	0.89	0.7756003179
206	0.89	0.7738584685
207	0.89	0.7700807006
208	0.8926666667	0.7677970139
209	0.892	0.7655279037
210	0.892	0.7618323865
211	0.8926666667	0.7612423029
212	0.8953333333	0.7557905009
213	0.8953333333	0.7525920587
214	0.896	0.7504409114
215	0.896	0.7489332593
216	0.896	0.7460886287
217	0.8953333333	0.7454207525
218	0.896	0.7446895175
219	0.896	0.743663435
220	0.896	0.742234191
221	0.8973333333	0.7410344129
222	0.8973333333	0.7405324088
223	0.898	0.738913948
224	0.8993333333	0.7340827817
225	0.8986666667	0.7315517364
226	0.8993333333	0.7284423102
227	0.898	0.7259139302
228	0.8986666667	0.7253140046
229	0.8986666667	0.7226034239
230	0.8993333333	0.7213045353
231	0.8993333333	0.7204155216
232	0.8993333333	0.719640211
233	0.8993333333	0.7172821021
234	0.9	0.7148076916
235	0.9006666667	0.7136394711
236	0.9006666667	0.7105374386
237	0.902	0.7096308242
238	0.9013333333	0.7089877616
239	0.902	0.7067996694
240	0.902	0.7035898825
241	0.9013333333	0.7026877898
242	0.9013333333	0.7008191003
243	0.902	0.6976439614
244	0.902	0.6965311817
245	0.9026666667	0.6936688585
246	0.904	0.6914265346
247	0.904	0.6891918174
248	0.9046666667	0.6884694252
249	0.904	0.68613109
250	0.9053333333	0.6854858582
251	0.9053333333	0.6821786331
252	0.9053333333	0.6816615044
253	0.904	0.68001725
254	0.9046666667	0.6780925478
255	0.904	0.6747899349
256	0.904	0.6732438295
257	0.904	0.6725755764
258	0.904	0.6710307408
259	0.9066666667	0.6663039303
260	0.9073333333	0.6623620924
261	0.9073333333	0.6614708582
262	0.9073333333	0.6609629194
263	0.9073333333	0.6591074363
264	0.9073333333	0.6576940884
265	0.908	0.6554183642
266	0.908	0.6542673763
267	0.9086666667	0.649130252
268	0.9106666667	0.6463850782
269	0.9106666667	0.6452386352
270	0.912	0.6439034493
271	0.914	0.6403942841
272	0.914	0.6395576467
273	0.914	0.6391250905
274	0.914	0.6377574172
275	0.9153333333	0.6338317
276	0.9146666667	0.6319658462
277	0.9153333333	0.6301491093
278	0.9153333333	0.6291847217
279	0.916	0.6280218494
280	0.916	0.627547714
281	0.9166666667	0.6251229462
282	0.9173333333	0.623681738
283	0.9173333333	0.623160066
284	0.918	0.6221782879
285	0.918	0.6211296511
286	0.918	0.6203941885
287	0.918	0.6174094576
288	0.918	0.6168036772
289	0.918	0.6147601989
290	0.918	0.6141592637
291	0.9186666667	0.6136707975
292	0.9186666667	0.6128307174
293	0.9186666667	0.6117442252
294	0.9173333333	0.6111444138
295	0.9186666667	0.6103091558
296	0.9186666667	0.6064055782
297	0.918	0.6047535274
298	0.9173333333	0.6030729462
299	0.9186666667	0.6018035879
300	0.9186666667	0.6011595757
301	0.9186666667	0.6006405293
302	0.92	0.5995442407
303	0.9193333333	0.598825603
304	0.92	0.5973285973
305	0.918	0.5964341724
306	0.92	0.5924825022
307	0.9206666667	0.5918150833
308	0.9206666667	0.5901388875
309	0.9206666667	0.5894901462
310	0.922	0.5889045889
311	0.9206666667	0.5877455166
312	0.922	0.5864460193
313	0.9233333333	0.5844724123
314	0.9226666667	0.5826736412
315	0.9233333333	0.5803934234
316	0.9246666667	0.5789672159
317	0.9233333333	0.5773294928
318	0.9233333333	0.5751730501
319	0.9226666667	0.5742335384
320	0.924	0.5733121711
321	0.9246666667	0.5727489536
322	0.926	0.5717596644
323	0.928	0.5668224119
324	0.9286666667	0.5657704591
325	0.9293333333	0.5648303996
